size,graph,idx,gw_solution,gw_val,opt_solution,opt_val,optimal,ar,worst_val,num_cuts
14,reg3,13,1948,19.0,1948_14435,19.0,True,1.0,0.0,5
14,reg3,14,1960,18.0,1960_6353_10030_14423,18.0,True,1.0,0.0,5
14,reg3,15,3150,18.0,3150_5084_11299_13233,18.0,True,1.0,0.0,5
14,reg3,16,473,18.0,473_6552_6684_9699_9831_15910,18.0,True,1.0,0.0,5
14,reg3,17,1457,18.0,1365_1457_5307_11076_14926_15018,18.0,True,1.0,0.0,5
14,reg3,18,4935,19.0,4879_4935_11448_11504,19.0,True,1.0,0.0,5
14,reg3,19,2490,19.0,954_2490_13893_15429,19.0,True,1.0,0.0,5
14,reg3,20,2017,17.0,1001_2017_2985_4001_5214_5718_7198_7702_8681_9185_10665_11169_12382_13398_14366_15382,17.0,True,1.0,0.0,5
14,reg3,21,7303,19.0,7303_9080,19.0,True,1.0,0.0,5
14,reg3,22,3119,19.0,3119_4459_11924_13264,19.0,True,1.0,0.0,5
14,reg3,23,221,18.0,221_7206_9177_16162,18.0,True,1.0,0.0,5
14,reg3,24,4787,19.0,4787_11596,19.0,True,1.0,0.0,5
14,reg3,25,4478,18.0,860_4478_4536_7175_9208_11847_11905_15523,18.0,True,1.0,0.0,5
14,reg3,26,445,17.0,445_956_2489_3000_3385_3866_3896_4533_4540_4581_6577_6584_7267_7473_7480_7521_8862_8903_8910_9116_9799_9806_11802_11843_11850_12487_12517_12998_13383_13894_15427_15938,17.0,True,1.0,0.0,5
14,reg3,27,350,18.0,350_377_16006_16033,18.0,True,1.0,0.0,5
14,reg3,28,1989,19.0,1989_14394,19.0,True,1.0,0.0,5
14,reg3,29,2867,19.0,2867_13516,19.0,True,1.0,0.0,5
14,reg3,30,5195,18.0,5195_11188,18.0,True,1.0,0.0,5
14,reg3,31,1905,19.0,1905_14478,19.0,True,1.0,0.0,5
14,reg3,32,1274,17.0,1274_1276_1722_6347_6471_6475_6795_6979_7043_9340_9404_9588_9908_9912_10036_14661_15107_15109,17.0,True,1.0,0.0,5
14,reg3,33,3369,18.0,3369_13014,18.0,True,1.0,0.0,5
14,reg3,34,3026,19.0,2167_3026_13357_14216,19.0,True,1.0,0.0,5
14,reg3,35,5237,19.0,5237_11146,19.0,True,1.0,0.0,5
14,reg3,36,2839,19.0,2839_5368_11015_13544,19.0,True,1.0,0.0,5
14,reg3,37,6449,18.0,6449_9934,18.0,True,1.0,0.0,5
14,reg3,38,2343,18.0,1992_2343_2830_13553_14040_14391,18.0,True,1.0,0.0,5
14,reg3,39,4503,19.0,4503_11880,19.0,True,1.0,0.0,5
14,reg3,40,7334,19.0,7334_9049,19.0,True,1.0,0.0,5
14,reg3,41,1706,18.0,1706_14677,18.0,True,1.0,0.0,5
14,reg3,42,7493,19.0,7493_8890,19.0,True,1.0,0.0,5
14,reg3,43,5349,17.0,5242_5244_5287_5349_5356_7288_7365_7372_7384_7768_8615_8999_9011_9018_9095_11027_11034_11096_11139_11141,17.0,True,1.0,0.0,5
14,reg3,44,2923,18.0,937_2923_13460_15446,18.0,True,1.0,0.0,5
14,reg3,45,1583,19.0,1583_5781_10602_14800,19.0,True,1.0,0.0,5
14,reg3,46,1627,19.0,1627_14756,19.0,True,1.0,0.0,5
14,reg3,47,2854,18.0,2854_13529,18.0,True,1.0,0.0,5
16,reg3,0,30564,21.0,30564_34971,21.0,True,1.0,0.0,5
16,reg3,1,14232,22.0,14232_51303,22.0,True,1.0,0.0,5
16,reg3,2,28049,20.0,27800_37735,21.0,False,0.9523809523809524,0.0,5
16,reg3,3,10543,22.0,10543_22228_43307_54992,22.0,True,1.0,0.0,5
16,reg3,4,5533,22.0,5533_60002,22.0,True,1.0,0.0,5
16,reg3,5,14213,22.0,14213_51322,22.0,True,1.0,0.0,5
16,reg3,6,13083,20.0,4955_10986_11114_13083_21909_22293_29461_29465_36070_36074_43242_43626_52452_54421_54549_60580,20.0,True,1.0,0.0,5
16,reg3,7,9415,21.0,9415_56120,21.0,True,1.0,0.0,5
16,reg3,8,23433,22.0,23433_42102,22.0,True,1.0,0.0,5
16,reg3,9,9945,20.0,9945_9999_13965_13977_14093_18137_19186_23280_42255_46349_47398_51442_51558_51570_55536_55590,20.0,True,1.0,0.0,5
16,reg3,10,23829,20.0,23637_23829_24325_24332_24450_24452_41083_41085_41203_41210_41706_41898,20.0,True,1.0,0.0,5
16,reg3,11,31075,21.0,31075_34460,21.0,True,1.0,0.0,5
16,reg3,12,21583,22.0,21583_22061_22093_29771_35764_43442_43474_43952,22.0,True,1.0,0.0,5
16,reg3,13,14569,22.0,14569_50966,22.0,True,1.0,0.0,5
16,reg3,14,28910,21.0,28910_36625,21.0,True,1.0,0.0,5
16,reg3,15,3929,22.0,3929_61606,22.0,True,1.0,0.0,5
16,reg3,16,22827,22.0,22827_22890_42645_42708,22.0,True,1.0,0.0,5
16,reg3,17,8012,20.0,7964_8012_8084_57451_57523_57571,20.0,True,1.0,0.0,5
16,reg3,18,14681,20.0,7513_14681_50854_58022,20.0,True,1.0,0.0,5
16,reg3,19,19287,21.0,19287_46248,21.0,True,1.0,0.0,5
16,reg3,20,15984,22.0,15984_49551,22.0,True,1.0,0.0,5
16,reg3,21,13027,20.0,13026_52509,21.0,False,0.9523809523809524,0.0,5
16,reg3,22,18523,21.0,18523_24955_40580_47012,21.0,True,1.0,0.0,5
16,reg3,23,14196,21.0,14196_51339,21.0,True,1.0,0.0,5
16,reg3,24,11862,20.0,3798_11862_11926_20118_20124_20148_45387_45411_45417_53609_53673_61737,20.0,True,1.0,0.0,5
16,reg3,25,3564,20.0,31972_33563,21.0,False,0.9523809523809524,0.0,5
16,reg3,26,15848,21.0,15848_26092_39443_49687,21.0,True,1.0,0.0,5
16,reg3,27,23372,20.0,19277_20237_23372_23396_24332_29516_29540_29664_35871_35995_36019_41203_42139_42163_45298_46258,20.0,True,1.0,0.0,5
16,reg3,28,6385,21.0,6385_59150,21.0,True,1.0,0.0,5
16,reg3,29,6765,20.0,2301_2685_2909_6381_6393_6765_6777_6989_7001_25830_25842_28899_29922_35613_36636_39693_39705_58534_58546_58758_58770_59142_59154_62626_62850_63234,20.0,True,1.0,0.0,5
16,reg3,30,23819,22.0,23691_23819_41716_41844,22.0,True,1.0,0.0,5
16,reg3,31,25901,22.0,25901_39634,22.0,True,1.0,0.0,5
16,reg3,32,28561,21.0,28561_36974,21.0,True,1.0,0.0,5
16,reg3,33,3945,20.0,3945_3946_4041_4042_7625_12070_12105_12106_12129_12130_21721_25143_29237_36298_40392_43814_53405_53406_53429_53430_53465_57910_61493_61494_61589_61590,20.0,True,1.0,0.0,5
16,reg3,34,29993,20.0,29993_35542,20.0,True,1.0,0.0,5
16,reg3,35,21443,20.0,18371_21443_44092_47164,20.0,True,1.0,0.0,5
16,reg3,36,11744,21.0,11744_53791,21.0,True,1.0,0.0,5
16,reg3,37,28312,22.0,28312_37223,22.0,True,1.0,0.0,5
16,reg3,38,17231,20.0,847_26203_39332_64688,21.0,False,0.9523809523809524,0.0,5
16,reg3,39,4574,22.0,4574_5022_15557_49978_60513_60961,22.0,True,1.0,0.0,5
16,reg3,40,21321,21.0,21321_44214,21.0,True,1.0,0.0,5
16,reg3,41,7367,22.0,7367_58168,22.0,True,1.0,0.0,5
16,reg3,42,1723,20.0,1723_31060_34475_63812,20.0,True,1.0,0.0,5
16,reg3,43,6947,21.0,3367_6947_17806_47729_58588_62168,21.0,True,1.0,0.0,5
16,reg3,44,31504,21.0,31504_34031,21.0,True,1.0,0.0,5
16,reg3,45,3793,19.0,2963_3285_3793_3985_6430_7260_7380_7452_11153_14620_26893_27401_27521_27757_27877_28385_30988_31852_33683_34547_37150_37658_37778_38014_38134_38642_50915_54382_58083_58155_58275_59105_61550_61742_62250_62572,19.0,True,1.0,0.0,5
16,reg3,46,22709,20.0,2623_2743_3643_3763_19005_19125_20949_22709_22741_29005_29125_36410_36530_42794_42826_44586_46410_46530_61772_61892_62792_62912,20.0,True,1.0,0.0,5
16,reg3,47,19629,22.0,19629_45906,22.0,True,1.0,0.0,5
18,reg3,0,54954,23.0,54954_207189,23.0,True,1.0,0.0,5
18,reg3,1,55220,24.0,55220_206923,24.0,True,1.0,0.0,5
18,reg3,2,65188,24.0,65188_196955,24.0,True,1.0,0.0,5
18,reg3,3,29509,24.0,29509_232634,24.0,True,1.0,0.0,5
18,reg3,4,116642,23.0,68445_115682_116642_117698_144445_145501_146461_193698,23.0,True,1.0,0.0,5
18,reg3,5,119909,23.0,119397_119909_120357_141786_142234_142746,23.0,True,1.0,0.0,5
18,reg3,6,25933,22.0,15197_15221_25933_58445_58637_115727_115851_123917_138226_146292_146416_203506_203698_236210_246922_246946,22.0,True,1.0,0.0,5
18,reg3,7,76551,24.0,76551_185592,24.0,True,1.0,0.0,5
18,reg3,8,31953,23.0,31953_91431_91493_170650_170712_230190,23.0,True,1.0,0.0,5
18,reg3,9,10164,24.0,10164_127331_134812_251979,24.0,True,1.0,0.0,5
18,reg3,10,116875,22.0,14196_51419_116891_145252_210724_247947,23.0,False,0.9565217391304348,0.0,5
18,reg3,11,90780,24.0,51032_90780_171363_211111,24.0,True,1.0,0.0,5
18,reg3,12,53483,25.0,53483_208660,25.0,True,1.0,0.0,5
18,reg3,13,27838,24.0,27838_234305,24.0,True,1.0,0.0,5
18,reg3,14,30483,23.0,22295_24341_30483_44266_62275_62787_63235_87829_107754_109800_152343_154389_174314_198908_199356_199868_217877_231660_237802_239848,23.0,True,1.0,0.0,5
18,reg3,15,47261,23.0,47183_47197_47261_47309_214834_214882_214946_214960,23.0,True,1.0,0.0,5
18,reg3,16,111225,24.0,111225_150918,24.0,True,1.0,0.0,5
18,reg3,17,81282,24.0,81282_180861,24.0,True,1.0,0.0,5
18,reg3,18,128385,23.0,72045_88421_89413_128385_133758_172730_173722_190098,23.0,True,1.0,0.0,5
18,reg3,19,79431,23.0,4959_53690_54074_70239_76999_77029_77383_77413_78423_79431_93412_126116_136027_168731_182712_183720_184730_184760_185114_185144_191904_208069_208453_257184,23.0,True,1.0,0.0,5
18,reg3,20,123933,23.0,13286_29293_52765_58909_78183_78310_94311_94325_94821_117789_123933_138210_144354_167322_167818_167832_183833_183960_203234_209378_232850_248857,23.0,True,1.0,0.0,5
18,reg3,21,8543,24.0,8543_253600,24.0,True,1.0,0.0,5
18,reg3,22,33529,24.0,33529_228614,24.0,True,1.0,0.0,5
18,reg3,23,19953,23.0,19953_39821_47758_48012_50673_52657_83441_178702_209486_211470_214131_214385_222322_242190,23.0,True,1.0,0.0,5
18,reg3,24,90923,23.0,25403_40660_90923_106180_113348_148795_155963_171220_221483_236740,23.0,True,1.0,0.0,5
18,reg3,25,64842,24.0,64842_81192_180951_197301,24.0,True,1.0,0.0,5
18,reg3,26,22745,24.0,22745_239398,24.0,True,1.0,0.0,5
18,reg3,27,63176,25.0,63144_63176_198967_198999,25.0,True,1.0,0.0,5
18,reg3,28,55514,25.0,55514_206629,25.0,True,1.0,0.0,5
18,reg3,29,30469,24.0,30469_231674,24.0,True,1.0,0.0,5
18,reg3,30,53990,23.0,45302_45798_53990_54478_54982_207161_207665_208153_216345_216841,23.0,True,1.0,0.0,5
18,reg3,31,52050,24.0,52050_210093,24.0,True,1.0,0.0,5
18,reg3,32,110962,23.0,16767_110962_113858_114368_147775_148285_151181_245376,23.0,True,1.0,0.0,5
18,reg3,33,123674,25.0,23781_123674_138469_238362,25.0,True,1.0,0.0,5
18,reg3,34,117163,24.0,117163_144980,24.0,True,1.0,0.0,5
18,reg3,35,61249,23.0,16074_53089_60997_61249_65089_115061_115557_116081_116577_145566_146062_146586_147082_197054_200894_201146_209054_246069,23.0,True,1.0,0.0,5
18,reg3,36,67545,25.0,48962_67545_194598_213181,25.0,True,1.0,0.0,5
18,reg3,37,56994,23.0,24290_55202_56994_205149_206941_237853,23.0,True,1.0,0.0,5
18,reg3,38,72150,25.0,58985_72150_189993_203158,25.0,True,1.0,0.0,5
18,reg3,39,34654,23.0,34173_34654_34684_37245_39229_42838_99453_99964_101437_104509_157634_160706_162179_162690_219305_222914_224898_227459_227489_227970,23.0,True,1.0,0.0,5
18,reg3,40,60742,23.0,60694_60742_62790_102085_102086_104133_104134_110276_110404_112324_126276_128324_133819_135867_149819_151739_151867_158009_158010_160057_160058_199353_201401_201449,23.0,True,1.0,0.0,5
18,reg3,41,23431,23.0,5071_5079_7111_23431_55943_55957_59559_59573_63623_63637_70613_103125_105109_125108_137035_157034_159018_191530_198506_198520_202570_202584_206186_206200_238712_255032_257064_257072,23.0,True,1.0,0.0,5
18,reg3,42,100323,24.0,100323_161820,24.0,True,1.0,0.0,5
18,reg3,43,51639,24.0,51639_210504,24.0,True,1.0,0.0,5
18,reg3,44,18106,24.0,18106_244037,24.0,True,1.0,0.0,5
18,reg3,45,99697,24.0,99697_162446,24.0,True,1.0,0.0,5
18,reg3,46,74875,23.0,74875_187268,23.0,True,1.0,0.0,5
18,reg3,47,110996,24.0,110996_151147,24.0,True,1.0,0.0,5
20,reg3,0,19679,26.0,19679_26847_59611_202612_321691_726884_845963_988964_1021728_1028896,26.0,True,1.0,0.0,5
20,reg3,1,119388,27.0,119388_929187,27.0,True,1.0,0.0,5
20,reg3,2,377743,27.0,377743_670832,27.0,True,1.0,0.0,5
20,reg3,3,487721,26.0,471354_487721_487722_560853_560854_577221,26.0,True,1.0,0.0,5
20,reg3,4,337653,27.0,337653_710922,27.0,True,1.0,0.0,5
20,reg3,5,319049,26.0,165439_167455_169519_317033_317153_319049_319169_729406_729526_731422_731542_879056_881120_883136,26.0,True,1.0,0.0,5
20,reg3,6,259396,26.0,259396_390436_513316_521476_527099_535259_658139_789179,26.0,True,1.0,0.0,5
20,reg3,7,108663,28.0,108663_939912,28.0,True,1.0,0.0,5
20,reg3,8,314947,27.0,314947_733628,27.0,True,1.0,0.0,5
20,reg3,9,48663,26.0,48663_475612_475628_572947_572963_999912,26.0,True,1.0,0.0,5
20,reg3,10,429899,27.0,429899_618676,27.0,True,1.0,0.0,5
20,reg3,11,462180,27.0,462180_586395,27.0,True,1.0,0.0,5
20,reg3,12,412423,27.0,412423_636152,27.0,True,1.0,0.0,5
20,reg3,13,108532,27.0,108532_340950_707625_940043,27.0,True,1.0,0.0,5
20,reg3,14,367561,27.0,236457_367561_681014_812118,27.0,True,1.0,0.0,5
20,reg3,15,62356,27.0,62356_986219,27.0,True,1.0,0.0,5
20,reg3,16,202878,26.0,145534_202878_219258_220280_482360_566215_828295_829317_845697_903041,26.0,True,1.0,0.0,5
20,reg3,17,259598,27.0,259598_788977,27.0,True,1.0,0.0,5
20,reg3,18,269813,27.0,269813_415700_632875_778762,27.0,True,1.0,0.0,5
20,reg3,19,125701,27.0,125701_922874,27.0,True,1.0,0.0,5
20,reg3,20,241538,26.0,241538_474245_479413_569162_574330_807037,26.0,True,1.0,0.0,5
20,reg3,21,447539,26.0,316523_324707_324713_447539_447587_600988_601036_723862_723868_732052,26.0,True,1.0,0.0,5
20,reg3,22,83191,28.0,83191_965384,28.0,True,1.0,0.0,5
20,reg3,23,426950,25.0,303822_304842_320202_322122_369350_426950_426980_434886_613689_621595_621625_679225_726453_728373_743733_744753,25.0,True,1.0,0.0,5
20,reg3,24,16291,26.0,15787_16291_32674_1015901_1032284_1032788,26.0,True,1.0,0.0,5
20,reg3,25,234740,28.0,234740_813835,28.0,True,1.0,0.0,5
20,reg3,26,173925,26.0,173925_190245_366810_681765_858330_874650,26.0,True,1.0,0.0,5
20,reg3,27,50937,26.0,50937_108793_313073_411377_444113_604462_637198_735502_939782_997638,26.0,True,1.0,0.0,5
20,reg3,28,486180,26.0,485860_562715,27.0,False,0.9629629629629628,0.0,5
20,reg3,29,211299,28.0,211299_837276,28.0,True,1.0,0.0,5
20,reg3,30,429163,26.0,11643_167275_429163_494635_553940_619412_881300_1036932,26.0,True,1.0,0.0,5
20,reg3,31,108209,27.0,108209_940366,27.0,True,1.0,0.0,5
20,reg3,32,321817,25.0,220828_303475_305497_305521_313147_320827_321817_342489_342745_342748_351900_359068_443707_604868_689507_696675_705827_705830_706086_726758_727748_735428_743054_743078_745100_827747,25.0,True,1.0,0.0,5
20,reg3,33,471920,26.0,217972_222003_226098_226160_273819_301532_302540_306571_463708_463732_467739_467763_468251_471834_471858_471896_471920_576655_576679_576717_576741_580324_580812_580836_584843_584867_742004_746035_747043_774756_822415_822477_826572_830603,26.0,True,1.0,0.0,5
20,reg3,34,335045,25.0,285643_286659_286661_293323_335043_335045_342475_706100_713530_713532_755252_761914_761916_762932,25.0,True,1.0,0.0,5
20,reg3,35,124618,26.0,59083_123626_124618_254186_794389_923957_924949_989492,26.0,True,1.0,0.0,5
20,reg3,36,289562,27.0,289562_759013,27.0,True,1.0,0.0,5
20,reg3,37,107830,27.0,107830_940745,27.0,True,1.0,0.0,5
20,reg3,38,399051,28.0,399051_649524,28.0,True,1.0,0.0,5
20,reg3,39,405981,27.0,405981_642594,27.0,True,1.0,0.0,5
20,reg3,40,499028,27.0,374040_499028_549547_674535,27.0,True,1.0,0.0,5
20,reg3,41,95117,26.0,79757_95117_312246_736329_953458_968818,26.0,True,1.0,0.0,5
20,reg3,42,349146,25.0,285816_349146_699429_762759,25.0,True,1.0,0.0,5
20,reg3,43,232046,26.0,166607_232046_232142_246382_248428_250476_798099_800147_802193_816433_816529_881968,26.0,True,1.0,0.0,5
20,reg3,44,80834,27.0,80834_967741,27.0,True,1.0,0.0,5
20,reg3,45,314459,26.0,58031_314459_319663_499024_549551_728912_734116_990544,26.0,True,1.0,0.0,5
20,reg3,46,288879,26.0,280830_288879_321643_726932_759696_767745,26.0,True,1.0,0.0,5
20,reg3,47,236956,27.0,236956_811619,27.0,True,1.0,0.0,5
22,reg3,0,1558641,29.0,1558641_2635662,29.0,True,1.0,0.0,5
22,reg3,1,1967917,29.0,862588_1218215_1234567_1476269_1476397_1480357_1492621_1496709_1558153_1967917_1968941_2225362_2226386_2636150_2697594_2701682_2713946_2717906_2718034_2959736_2976088_3331715,29.0,True,1.0,0.0,5
22,reg3,2,463423,29.0,463423_3730880,29.0,True,1.0,0.0,5
22,reg3,3,447428,30.0,447428_3746875,30.0,True,1.0,0.0,5
22,reg3,4,1673925,30.0,1673925_2520378,30.0,True,1.0,0.0,5
22,reg3,5,1923936,27.0,858936_1907424_1907504_1907552_1947873_2246430_2286751_2286799_2286879_3335367,28.0,False,0.9642857142857144,0.0,5
22,reg3,6,693115,28.0,693197_3501106,29.0,False,0.9655172413793104,0.0,5
22,reg3,7,1348925,29.0,1276547_1348925_1348988_1796739_1869180_2325123_2397564_2845315_2845378_2917756,29.0,True,1.0,0.0,5
22,reg3,8,1387852,30.0,1387852_2806451,30.0,True,1.0,0.0,5
22,reg3,9,1263501,29.0,1262509_1263501_2930802_2931794,29.0,True,1.0,0.0,5
22,reg3,10,2032075,29.0,1508811_2032075_2162228_2685492,29.0,True,1.0,0.0,5
22,reg3,11,863315,28.0,556326_556338_556834_556836_863315_3330988_3637467_3637469_3637965_3637977,28.0,True,1.0,0.0,5
22,reg3,12,1803566,29.0,1803566_1804076_2390227_2390737,29.0,True,1.0,0.0,5
22,reg3,13,389898,30.0,389898_3804405,30.0,True,1.0,0.0,5
22,reg3,14,841957,29.0,809445_841957_891121_907489_1615515_1677971_1677978_1678033_1681050_1746459_1811994_2382309_2447844_2513253_2516270_2516325_2516332_2578788_3286814_3303182_3352346_3384858,29.0,True,1.0,0.0,5
22,reg3,15,877453,29.0,582943_647455_647515_714007_778586_877453_878469_1009029_3185274_3315834_3316850_3415717_3480296_3546788_3546848_3611360,29.0,True,1.0,0.0,5
22,reg3,16,1205625,29.0,1205625_1729905_1730401_2463902_2464398_2988678,29.0,True,1.0,0.0,5
22,reg3,17,1645308,30.0,1645308_2548995,30.0,True,1.0,0.0,5
22,reg3,18,806106,30.0,806106_3388197,30.0,True,1.0,0.0,5
22,reg3,19,380152,27.0,388344_910584_1582263_2612040_3283719_3805959,28.0,False,0.9642857142857144,0.0,5
22,reg3,20,1328605,29.0,1328605_1848726_1975702_2218601_2345577_2865698,29.0,True,1.0,0.0,5
22,reg3,21,1504944,30.0,1230489_1504944_2689359_2963814,30.0,True,1.0,0.0,5
22,reg3,22,1003178,28.0,872106_1002666_3191637_3322197,29.0,False,0.9655172413793104,0.0,5
22,reg3,23,1723364,31.0,1723364_2470939,31.0,True,1.0,0.0,5
22,reg3,24,124027,29.0,124027_647291_3547012_4070276,29.0,True,1.0,0.0,5
22,reg3,25,610219,28.0,610203_610219_642955_3551348_3584084_3584100,28.0,True,1.0,0.0,5
22,reg3,26,918517,29.0,787453_918517_1178650_1309714_2884589_3015653_3275786_3406850,29.0,True,1.0,0.0,5
22,reg3,27,900452,30.0,900452_3293851,30.0,True,1.0,0.0,5
22,reg3,28,496566,30.0,496566_3697737,30.0,True,1.0,0.0,5
22,reg3,29,1631939,27.0,593655_728886_1369289_1642215_2552088_2825014_3465417_3600648,28.0,False,0.9642857142857144,0.0,5
22,reg3,30,1210726,29.0,1210726_2983577,29.0,True,1.0,0.0,5
22,reg3,31,1948808,31.0,1895945_1916552_1948808_2245495_2277751_2298358,31.0,True,1.0,0.0,5
22,reg3,32,180040,28.0,180040_196360_241480_754294_764492_764744_3429559_3429811_3440009_3952823_3997943_4014263,28.0,True,1.0,0.0,5
22,reg3,33,1209692,29.0,1019430_1208669_1209692_2984611_2985634_3174873,29.0,True,1.0,0.0,5
22,reg3,34,1492440,29.0,1480152_1492440_1556952_2637351_2701863_2714151,29.0,True,1.0,0.0,5
22,reg3,35,765512,30.0,765512_3428791,30.0,True,1.0,0.0,5
22,reg3,36,1487770,30.0,1487770_2706533,30.0,True,1.0,0.0,5
22,reg3,37,1587421,29.0,1064391_1064419_1587421_1587661_2606642_2606882_3129884_3129912,29.0,True,1.0,0.0,5
22,reg3,38,877071,30.0,877071_3317232,30.0,True,1.0,0.0,5
22,reg3,39,415255,30.0,415255_3779048,30.0,True,1.0,0.0,5
